Ward Number,Ward Name,Zone,Assembly Constituency,Covid Zone,Containment Zone
148.0,Ejipura,South,B.T.M Layout,Green,No
149.0,Varthuru,Mahadevapura,Mahadevpura,Green,No
150.0,Bellanduru,Mahadevapura,Mahadevpura,Green,No
151.0,Koramangala,South,B.T.M Layout,Green,No
152.0,Suddagunte Palya,South,B.T.M Layout,Green,No
153.0,Jayanagara,South,Chikpet,Green,No
154.0,Basavanagudi,South,Basavanagudi,Green,No
155.0,Hanumanth Nagar,South,Basavanagudi,Green,No
156.0,Srinagara,South,Basavanagudi,Green,No
157.0,Gali Anjaneya Temple,South,Vijayanagar,Green,No
159.0,Kengeri,RR Nagar,Yeshwanthpur,Green,No
161.0,Hosakerehalli,South,Padmanabhanagar,Green,No
162.0,Girinagar,South,Padmanabhanagar,Green,No
163.0,Katriguppe,RR Nagar,Basavanagudi,Green,No
164.0,Vidyapeeta,South,Basavanagudi,Green,No
165.0,Ganesh Mandiara,South,Padmanabhanagar,Green,No
167.0,Yediyur,South,Padmanabhanagar,Green,No
168.0,Pattabhiram Nagar,South,Jayanagar,Green,No
173.0,Jakkasandra,South,B.T.M Layout,Green,No
174.0,Hsr Layout,Bommanahalli,Bommanahalli,Green,No
175.0,Bommanahalli,Bommanahalli,Bommanahalli,Green,No
176.0,B T M Layout,South,B.T.M Layout,Green,No
178.0,Sarakki,South,Jayanagar,Green,No
180.0,Banashankari Temple,South,Padmanabhanagar,Green,No
181.0,Kumaraswamy Layout,South,Padmanabhanagar,Green,No
182.0,Padmanabha Nagar,South,Padmanabhanagar,Green,No
183.0,Chikkalsandra,South,Padmanabhanagar,Green,No
184.0,Uttarahalli,Bommanahalli,Bangalore South,Green,No
185.0,Yelchenahalli,Bommanahalli,Bangalore South,Green,No
186.0,Jaraganahalli,Bommanahalli,Bommanahalli,Green,No
187.0,Puttenahalli,Bommanahalli,Bommanahalli,Green,No
188.0,Bilekhali,Bommanahalli,Bommanahalli,Green,No
190.0,Mangammanapalya,Bommanahalli,Bommanahalli,Green,No
191.0,Singasandra,Bommanahalli,Bangalore South,Green,No
192.0,Begur,Bommanahalli,Bangalore South,Green,No
193.0,Arakere,Bommanahalli,Bommanahalli,Green,No
194.0,Gottigere,Bommanahalli,Bangalore South,Green,No
195.0,Konanakunte,Bommanahalli,Bangalore South,Green,No
196.0,Anjanapura,Bommanahalli,Bangalore South,Green,No
197.0,Vasanthpura,Bommanahalli,Bangalore South,Green,No
198.0,Hemmigepura,RR Nagar,Yeshwanthpur,Green,No
